IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,EUR,Europe,Country,BEL,Belgium,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,3.3,,,,,,3.3,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,EUR,Europe,Country,HUN,Hungary,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,3.3,,,,,,3.3,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,3.4,,,,,,3.4,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,EUR,Europe,Country,LTU,Lithuania,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,3.4,,,,,,3.4,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,EUR,Europe,Country,EST,Estonia,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,3.5,,,,,,3.5,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,AMR,Americas,Country,CUB,Cuba,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,3.6,,,,,,3.6,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,WPR,Western Pacific,Country,FJI,Fiji,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,3.6,,,,,,3.6,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,EUR,Europe,Country,SVK,Slovakia,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,3.6,,,,,,3.6,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,EUR,Europe,Country,GRC,Greece,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,3.7,,,,,,3.7,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,EUR,Europe,Country,TUR,Turkey,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,3.8,,,,,,3.8,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,WPR,Western Pacific,Country,KIR,Kiribati,Year,2016,true,Sex,Male,MLE,,,,,,,,,,3.9,,,,,,3.9,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,WPR,Western Pacific,Country,TON,Tonga,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,3.9,,,,,,3.9,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,AFR,Africa,Country,SSD,South Sudan,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,30.3,,,,,,30.3,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2016,true,Sex,Male,MLE,,,,,,,,,,30.6,,,,,,30.6,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,AMR,Americas,Country,HND,Honduras,Year,2016,true,Sex,Male,MLE,,,,,,,,,,30.6,,,,,,30.6,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,30.8,,,,,,30.8,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,AMR,Americas,Country,LCA,Saint Lucia,Year,2016,true,Sex,Male,MLE,,,,,,,,,,30.9,,,,,,30.9,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,WPR,Western Pacific,Country,WSM,Samoa,Year,2016,true,Sex,Male,MLE,,,,,,,,,,30.9,,,,,,30.9,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,WPR,Western Pacific,Country,SLB,Solomon Islands,Year,2016,true,Sex,Male,MLE,,,,,,,,,,31.1,,,,,,31.1,,,EN,2018-09-06T04:00:00.000Z
SA_0000001459,"Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population",numeric,EUR,Europe,Country,ARM,Armenia,Year,2016,true,Sex,Male,MLE,,,,,,,,,,31.2,,,,,,31.2,,,EN,2018-09-06T04:00:00.000Z
